,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
206401,4261,2003-02-24,Jeopardy!,SHOPPING OFF THE TV,$400,The Telezapper is supposed to help get this removed from computerized databases,your telephone number,400.0
207952,5049,2006-07-20,Jeopardy!,ABBREVIATED U.S. STATES,$1000,"Put the abbreviation for this state with ""scan"" & you get a computerized diagnostic medical technique","Connecticut, CT",1000.0
209514,5928,2010-05-26,Double Jeopardy!,WORDS ON THE QWERTY ROW,$800,It's the pre-computer machine on which you'd find a QWERTY keyboard,a typewriter,800.0
210778,3786,2001-05-02,Double Jeopardy!,RECENT MOVIES,$1000,Laurence Fishburne shows computer hacker Keanu Reeves that the world isn't what it seems in this film,The Matrix,1000.0
211629,5292,2007-09-18,Jeopardy!,AFTER MASH,$400,In the actions used to describe grabbing an image from 1 document & moving it onto another on a computer,paste,400.0
213807,4602,2004-09-14,Double Jeopardy!,FLOWER POWER,$1200,This computing term for a series of peripherals connected to a computer sounds like a school day flower bracelet,daisy chain,1200.0
213832,5856,2010-02-15,Jeopardy!,COMPANY NAME ORIGINS,$400,Mitch Kapor named this computer software company after the yoga position also known as the padmasana,Lotus,400.0
213845,5856,2010-02-15,Jeopardy!,THAT'S THE KIND OF MAN I WANT,$800,"A synonym for ""punctual"", it's also a reminder that a computer is ready for input; the C: type is one",prompt,800.0
214814,5212,2007-04-17,Double Jeopardy!,THANKS FOR THE MEMOIRS,$400,"""iWOZ"" tells how he went ""from computer geek to cult icon"" by inventing the personal computer",Wozniak,400.0
214992,4252,2003-11-02,Double Jeopardy!,POTPOURRI,$400,In computer lingo this punctuation mark is called a bang or pling,exclamation mark,400.0
215116,6036,2010-06-12,Double Jeopardy!,"WHAT HAPPENED TO THE ""MOTHER""s?",$400,The main circuitry of a computer is found here,the motherboard,400.0
215539,4216,2002-12-23,Double Jeopardy!,WORDS WITHIN WORDS,$1600,You may have to do this to a computer disk to enable it to store information,format (in(format)ion),1600.0
216299,5236,2007-05-21,Double Jeopardy!,FORBES' CARS FOR THE RICH,$400,This get personal for a personal computer mogul Michael Dell in a 2005 H2 from this manufacturer,Hummer,400.0
